target_id,symbol,name,score
ENSG00000244734,HBB,hemoglobin subunit beta,0.7961315890314938
ENSG00000171848,RRM2,ribonucleotide reductase regulatory subunit M2,0.5755955131594813
ENSG00000206172,HBA1,hemoglobin subunit alpha 1,0.5751469830163006
ENSG00000188536,HBA2,hemoglobin subunit alpha 2,0.5751101423947685
ENSG00000174175,SELP,selectin P,0.556883014622482
ENSG00000169313,P2RY12,purinergic receptor P2Y12,0.3529065191301072
ENSG00000112038,OPRM1,opioid receptor mu 1,0.3405678360919527
ENSG00000169442,CD52,CD52 molecule,0.29985856666149696
ENSG00000176884,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,0.29297416369422274
ENSG00000116032,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,0.29297416369422274
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,0.29297416369422274
ENSG00000105464,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,0.29297416369422274
ENSG00000198785,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,0.29297416369422274
ENSG00000161509,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,0.29297416369422274
ENSG00000273079,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,0.29297416369422274
ENSG00000111424,VDR,vitamin D receptor,0.28382706229077637
ENSG00000113580,NR3C1,nuclear receptor subfamily 3 group C member 1,0.2804597791703158
ENSG00000126218,F10,coagulation factor X,0.2792586446425905
ENSG00000007908,SELE,selectin E,0.27125590597037247
ENSG00000188404,SELL,selectin L,0.27091425015130516
ENSG00000142319,SLC6A3,solute carrier family 6 member 3,0.26794539464640876
ENSG00000103546,SLC6A2,solute carrier family 6 member 2,0.26794539464640876
ENSG00000104783,KCNN4,potassium calcium-activated channel subfamily N member 4,0.18179721070693222
ENSG00000103148,NPRL3,"NPR3 like, GATOR1 complex subunit",0.12673904002053454
ENSG00000143627,PKLR,pyruvate kinase L/R,0.1233268209916837
ENSG00000164867,NOS3,nitric oxide synthase 3,0.12004083794161058
ENSG00000088832,FKBP1A,FKBP prolyl isomerase 1A,0.11661461163608977
ENSG00000106348,IMPDH1,inosine monophosphate dehydrogenase 1,0.10848677224198792
ENSG00000178035,IMPDH2,inosine monophosphate dehydrogenase 2,0.10848677224198792
ENSG00000160191,PDE9A,phosphodiesterase 9A,0.10700363403829573
ENSG00000061918,GUCY1B1,guanylate cyclase 1 soluble subunit beta 1,0.10670591693313307
ENSG00000123201,GUCY1B2,guanylate cyclase 1 soluble subunit beta 2 (pseudogene),0.10670591693313307
ENSG00000121966,CXCR4,C-X-C motif chemokine receptor 4,0.10377921301997838
ENSG00000007171,NOS2,nitric oxide synthase 2,0.10230675858265338
ENSG00000106628,POLD2,"DNA polymerase delta 2, accessory subunit",0.10060784933083547
ENSG00000062822,POLD1,"DNA polymerase delta 1, catalytic subunit",0.10060784933083547
ENSG00000177084,POLE,"DNA polymerase epsilon, catalytic subunit",0.10060784933083547
ENSG00000100479,POLE2,"DNA polymerase epsilon 2, accessory subunit",0.10060784933083547
ENSG00000146143,PRIM2,DNA primase subunit 2,0.10060784933083547
